wavelength flux
11109.98597757023 0.0008695544707251878
11111.305184506176 0.00136997524878565
11112.625987148886 0.0010591348159787893
11113.9466922854 0.0010310017104165393
11115.266048211563 0.0009172167048340846
11116.613501844235 0.0014115207024733136
11117.932148509988 0.0006753644831017228
11119.22787732759 0.0011854546501196906
11120.57109143896 0.0013809230944568302
11121.891065025791 0.0013633540331454885
11123.189142879286 0.0005760777724977619
11124.52871990363 0.0011979823393075495
11125.829719568717 0.0010969803792719353
11127.167066089623 0.0014925236008244613
11128.468484851423 0.0007900489729338862
11129.805873227917 0.0017482882709800602
11131.124333193871 0.0011917084793235731
11132.443066763431 0.0009057709133567844
11133.74840047937 0.0009104126105710558
11135.081024516801 0.0007846027964402661
11136.399740810404 0.0010907379850073025
11137.718258402421 0.0008478762813574989
11139.037149267122 0.0011211312586443874
11140.347426054233 0.001210773042060808
11141.674379474522 0.0008039712433818406
11142.993201827827 0.0009441526738107655
11144.311459931298 0.001066342712446624
11145.62992767086 0.0004352382210740694
11146.948488819675 0.00044560725624072915
11148.2668364072 0.0011028636257903667
11149.583669581209 0.0010984603983013065
11150.903602648323 0.0007361872988935315
11152.221857135917 0.0010051283699758808
11153.541504527093 0.0007254137034359605
11154.858230206017 0.0008185728525727709
11156.179893822928 0.000679745282601072
11157.499036374547 0.00046732883398212043
11158.812767494088 0.0008322465933269362
11160.137136544898 0.0006819393963071208
11161.448824705776 0.0013799672674037705
11162.767018884377 0.000935931391100208
11164.093740115371 0.0007923383203107613
11165.413077443152 0.00036225904890424234
11166.731832994856 0.0007569859603725412
11168.037644141834 0.0015126691446055586
11169.355718768857 0.0013949039096822853
11170.673932919546 0.001184370761848722
11171.99094766455 0.0007118418429031458
11173.309286336196 0.0011628869302233041
11174.626801889604 0.0009922620535016552
11175.96173153039 0.0008419260488670205
11177.26140179808 0.00159473010870336
11178.578940138015 0.0014710635726535185
11179.916370614937 0.0007107632430781008
11181.23683332603 0.0009746090096125039
11182.531209812854 0.001309026105662814
11183.874588569402 0.0012879010411743727
11185.165821095734 0.0012751920037371212
11186.482902458865 0.0015492353944214286
11187.799537323544 0.001106355932272724
11189.117803913907 0.0012227433272026648
11190.433585747196 0.001057279846710437
11191.751070757855 0.0014950760533432629
11193.068337710292 0.0012349205995576124
11194.385491057732 0.0014986332680799704
11195.701839149939 0.001316427947558342
11197.019387463728 0.0014930899738256184
11198.337021766389 0.001789227929967905
11199.390311113213 0.0013587680440805374
11200.970729314613 0.0014249794316006808
11203.603383438 0.001156388738584186
11205.110417701018 0.0008335488829407855
11207.553886006643 0.0018908433111503751
11208.868976965518 0.0015590508124644904
11210.18506863286 0.0014507342502834135
11212.816641938824 0.001552279461676317
11214.137037096883 0.001644544739888489
11215.451183462092 0.0019353937379306396
11216.767742840413 0.0016652500565426417
11218.08417934235 0.0016832172605018454
11219.401949723771 0.0013959227646334492
11220.716799631564 0.001978733689657109
11222.03203318076 0.0016714685629993875
11223.350502615516 0.0013793188430735231
11224.667003982633 0.0013930588978841873
11225.981482020901 0.0016300641823949664
11227.29931297231 0.00170932159192661
11228.613346201273 0.0011265737572712887
11229.92833916353 0.002348080958807856
11231.244544749827 0.0019821865140076424
