wavelength flux
11490.884499862954 333.8310645239286
11492.204444685869 292.17505322667347
11493.505861987736 291.85384674583753
11494.801162128248 317.4998073319895
11496.103226375331 324.89438056311656
11497.411335846136 315.3742364853369
11498.709750723921 320.57565829155277
11500.017642404002 288.25310395479704
11501.327689765298 358.98697106047535
11502.637030062602 332.826197240708
11503.958504669938 320.2952735548434
11505.270258674409 312.58025707505203
11506.5797683633 314.73011741253833
11507.889937511887 293.5458949064836
11509.198901938664 315.6326179973451
11510.50672109597 329.73559774841647
11511.814805885786 329.13467206055594
11513.124476735115 332.7701132187472
11514.434793852866 328.9933903429379
11515.745694490526 274.31878419659995
11517.056898534593 323.0751079583429
11518.367363891712 327.4809800079564
11519.67187888924 319.23710051496226
11520.982184756293 320.2310681419241
11522.293446883918 332.32394511389816
11523.604245172695 328.7926667591148
11524.915426124799 291.9013219685502
11526.206772616464 284.57301882147976
11527.525519600653 353.9116834910441
11528.83664981027 382.51568318133474
11530.147180937156 359.467532462737
11531.44901673779 331.18655199105643
11532.764902415418 311.01112074688166
11534.076285785399 317.3208318522041
11535.38252490415 314.3397306437731
11536.689823040846 325.4886530899796
11538.002348087737 335.71732641869426
11539.30776284814 327.5428451384635
11540.617502868376 363.9264660357588
11541.927083837007 315.92434450931245
11543.235833987846 320.3999598263023
11544.54322922817 331.657036103622
11545.852256998269 339.9675335537985
11547.164268504233 336.24911986283104
11548.47322638867 344.9517477620425
11549.780182338045 347.0107048695922
11551.091726577677 336.61233819980316
11552.398298788688 323.54410571612783
11553.705725262114 312.7591666472659
11555.01541320037 310.6227632367774
11556.322296677967 319.4116827845274
11557.629031502856 321.31360207474796
11558.940920820358 322.3460579273096
11560.23918972744 331.8092233106612
11561.547102807239 331.02772197967545
11562.815139739534 324.6093816947792
11564.13260551221 324.9443892722332
11565.440862014375 303.0618121261703
11566.776609185385 325.97106123054726
11567.93200059844 307.96544977113854
11568.75732161108 312.72553345969504
11570.065260930138 329.15070565999656
11571.373277483262 316.2149768669203
11572.682483389357 284.68219131734156
11573.990125846536 310.7477756289685
11575.297749792064 334.7740110088985
11576.606572963177 321.4710689465714
11577.913196557749 312.71511094716624
11579.221783571762 326.57174247607173
11580.52977220152 372.89796908453974
11581.83067177725 346.38540460282013
11583.1271958963 316.5162184818597
11584.436602677826 330.25575388501863
11585.753143968228 320.9589040926913
11587.070683916405 321.6173984010816
11588.378677806973 344.94690824792417
11589.683143876418 314.144582723218
11590.994708560154 310.1607442899672
11592.303382116312 316.53694425155163
11593.609282131974 329.5388194815466
11594.916155744497 355.20818624341564
11596.22359417119 329.5246036526618
11597.53052969515 344.46722644426484
11598.839142397255 332.1493168753016
11600.146876005536 334.72816362131914
11601.45341963022 338.3122531692381
11602.760504409076 325.1008257644121
11604.067176985343 312.5466936617155
11605.37198945035 348.8364349713394
11606.679840312705 336.4209316541875
11607.987164752516 313.14662459536555
11609.296631728632 312.7296996349491
11610.60449655017 321.742994139601
11611.911910187682 321.3460407928808
11613.21869113286 315.9023748379132
11614.525240377097 316.42852416940747
11615.833130753097 318.2954310940964
11617.141306524858 321.29132672034433
11618.4485422055 327.6208273952508
11619.75518391989 341.004271607992
11621.0619346443 330.6302301396964
11622.366308656085 321.459417502135
11623.668191700148 326.7422840430829
11624.97959205109 344.9927435769025
11626.287408295013 330.5763818469573
11627.595833761276 330.5044943283196
11628.903501028382 303.2991443722335
11630.20992960681 313.5306852788963
11631.516131617402 324.9385816065056
11632.8229255717 308.4977752183579
11634.130954042006 313.7853145661882
11635.43742070747 311.3519074547931
11636.74657491137 296.97723443255927
11638.043642741257 316.22024807663604
11639.314110845087 320.7795830700204
11640.594008171618 326.5694252899301
11641.927555455062 320.02150070316753
11643.247030646971 331.0581611771002
11644.529758507908 321.3667290368699
11645.835230425188 332.75643692074374
11647.142069599822 349.59216918749644
11648.476832010378 337.85743583477534
11649.2747770777 319.26343417696944
11650.4584379499 302.17233617317066
11651.764084833128 313.4630174593184
11653.072855041286 321.4651774198466
11654.374722120869 303.75772542826604
11655.68195326204 321.50486923761514
11656.990093040333 309.5241828209935
11658.293513738774 310.6802098695402
11659.599501498276 310.97112320104515
11660.90327865486 321.99884330108233
11662.21280851797 318.62045922666164
11663.516444258023 318.63149143509077
11664.823157755856 321.0388805538346
11666.129512195816 312.35408694903896
11667.435147704533 310.6121054031034
11668.742025174763 321.48861429268374
11670.04759240022 311.6803951240664
11671.354738066568 326.24455680795364
11672.660105860832 324.9540401977248
11673.96518656008 324.8690165298467
11675.272657105974 315.62019459859033
11676.57885793739 316.10371950864794
11677.883435616865 320.93082766580665
11679.190207511165 336.8756919403499
11680.49757518296 327.9294368289048
11681.803072154311 315.2255542893557
11683.106870682801 316.66880057154066
11684.411808183433 318.79737962532715
11685.71768424239 321.21420244516804
11687.02334085086 321.6504990432334
11688.328496116705 314.83406146814514
11689.633226871267 313.9313618325687
11690.942308736096 311.9851816148345
11692.246815173547 313.880148863479
11693.549605085733 324.7387174643218
11694.858040169689 343.4783389254533
11696.163205757171 338.29389674979006
11697.470774497435 330.22475689205237
11698.772804871398 318.6900231348911
11700.07969678371 323.95672774588013
11701.385369138108 327.6004918251031
11702.692072085569 330.3534492435661
11703.996018389793 332.4232862197811
11705.301542802174 320.46155463486815
11706.60462470962 318.99907315346485
11707.913669384625 311.42061761023723
11709.217480591848 317.284960777359
11710.521916896116 323.6932310939666
11711.822199882114 337.302468451295
11713.129768343299 322.0244375717562
11714.436539490789 306.4298518881096
11715.744611167062 307.6727360351378
11717.046386498834 316.70963197675155
11718.3531763301 312.7013161411935
11719.657795682335 320.071913636891
11720.964606985275 328.88566061451706
11722.268079167361 313.3280161375728
11723.572974526327 312.1407983580027
11724.874639636146 319.978215125738
11726.179844860586 320.94000089792024
11727.48781511212 303.4132900710374
11728.791433722246 313.38998186191054
11730.095962008072 314.63591220058686
11731.400333723752 308.45939209897125
11732.705545393874 305.439931714252
11734.010647945746 321.72989947309264
11735.316713261818 312.7424196225679
11736.621565009838 314.39755833791776
11737.927261989826 316.47074659775467
11739.22965239351 300.93573909045404
11740.529933140626 308.50404478562626
11741.835726203592 315.1037117666054
11743.141696193745 325.5242713316867
11744.446842155945 326.4332740009871
11745.748225739711 322.80415179594013
11747.057464952852 316.29973883907
11748.363014196311 327.02805936850075
11749.665834467449 325.1697809817207
11750.968145959132 324.1606570521043
11752.27043273139 317.39442945367057
11753.562004560361 314.4148180862084
11754.86823998856 328.4492057921779
11756.169564931724 322.2959426459694
11757.490918657248 321.74525264635963
11758.7991817445 341.1836304511126
11760.103004238814 335.7000689263889
11761.405349605267 322.64993349576224
11762.709523070764 322.58061472630453
11764.012816772492 305.9328114964125
11765.316372185518 307.40067155456654
11766.62086492475 316.03710560307746
11767.925874315562 317.54752095772494
11769.232919132312 325.8412238937319
11770.533789179544 327.81290860414407
11771.839783446438 329.9071593861369
11773.144357518639 314.95808224982454
11774.447551392861 309.8537339057506
11775.751870959288 320.3856607498862
11777.052141051288 323.2483772331499
11778.356423975321 332.92595424264067
11779.662097606246 323.78859676054094
11780.969680512844 321.23314147089496
11782.272988674844 324.6513685737728
11783.5735829487 328.1398135951579
11784.878105363174 335.0729410721006
11786.182837522647 310.92487069304184
11787.484361153185 298.16098720855496
11788.788979511808 320.57583273183724
11790.091022664652 322.4484665952963
11791.397410606984 324.9786963147217
11792.700533898655 319.62691477540056
11794.00690769815 320.7720824004165
11795.309227624748 328.09811588674734
11796.610487904327 326.36816770329784
11797.913588554695 316.6285511070509
11799.238468650416 311.3402456779343
11800.541394152015 308.69254867101347
11801.85681016102 302.59961322384925
11803.132826750709 317.5114983111179
11804.435066000075 332.87755835629395
11805.735379503756 320.4656868965649
11807.03972686755 319.1304527368079
11808.344548308964 323.9475721897648
11809.647259245618 327.89886707200725
11810.949603548006 335.6953317785487
11812.253624886413 332.91917083096973
11813.556592130743 349.524096867283
11814.862224305194 347.3510318082086
11816.16453123252 348.35557183034956
11817.467518041753 330.3660722810867
11818.770007136509 333.2352593982638
11820.07532516238 339.9979138647112
11821.376211360326 342.69253537617186
11822.678961392705 345.1090731427925
11823.983254913284 353.5403017327833
11825.284712470233 345.23946361451215
11826.585035955028 347.6800004482431
11827.894141471266 341.8757138269789
11829.1949987883 343.5716198939456
11830.49993419628 362.3506920039335
11831.802398145237 358.29342537273703
11833.1037967327 349.28025381038486
11834.407984401794 344.8239903741977
11835.710696084234 346.4836662930627
11837.014082015112 339.4198635038738
11838.318806842073 341.62662214955816
11839.620322597093 359.97380389722304
11840.926233107088 378.4314691427996
11842.226275435994 352.8008234523024
11843.529918234979 338.0044455582766
11844.834672198152 330.95589981010085
11846.128840646481 324.97459410868225
11847.427717962488 319.4030007238438
11848.730683990583 321.4623335117967
11850.041928479053 326.5094971265457
11851.344098346677 334.7113890550218
11852.647345246187 322.17202010913843
11853.953286819327 309.3852676566799
11855.254525098195 302.8460117073513
11856.557764233083 304.44861458732277
11857.867212371239 318.08247338594094
11859.170122456453 313.3415382412963
11860.474925430068 300.6514395922108
11861.76910272601 301.28311543713426
11863.071580555723 303.9701217757732
11864.373032472926 312.3650852879258
11865.673178604242 320.31479523759106
11866.97824900954 316.0033000741663
11868.282493861021 319.502885480201
11869.583352608255 337.41917574452543
11870.869924658606 336.9653796901513
11872.17243064273 319.417288025154
11873.47639164442 314.7318532884571
11874.7963480903 317.87671032996894
11876.095330551736 300.25787706385177
11877.430194405084 310.92020705808756
11878.734593840201 323.6458799005141
11880.037669747206 322.08911059284844
11881.337466855182 319.00304737176043
11882.640744884458 318.2401497524439
11883.91147068004 323.2864718626188
11885.212846142227 319.74991780558594
11886.515308167682 316.5854041592684
11887.816259820811 320.7587401126963
11889.11937673733 318.6369401945891
11890.422225836692 313.6900337961251
11891.723225793905 324.9041782665815
11893.02351401861 336.0513763497809
11894.328924924981 331.0643911037765
11895.630970817692 344.80163014120535
11896.934359450293 346.1865645230901
11898.23579830785 340.0883717907964
11899.53967073273 318.09238503471346
11900.838711951223 308.7450645259043
11902.141357253578 298.4048668398308
11903.443765096164 285.41190658918316
11904.746874228718 291.74382967553265
11906.047365185897 315.5220697988153
11907.34961135752 304.4733388884416
11908.651982542364 300.9048633370213
