wavelength flux
11109.98597757023 269.603630391421
11111.305184506176 424.6994300870967
11112.625987148886 328.29188229683115
11113.9466922854 319.5274938879574
11115.266048211563 284.22404336347535
11116.613501844235 437.3356126645739
11117.932148509988 209.22127968106065
11119.22787732759 367.192387444616
11120.57109143896 427.6782331511927
11121.891065025791 422.17867213229556
11123.189142879286 178.3650440760953
11124.52871990363 370.8669575363084
11125.829719568717 339.55289649143134
11127.167066089623 461.9223644437917
11128.468484851423 244.47960334497395
11129.805873227917 540.9297488739059
11131.124333193871 368.67009996007243
11132.443066763431 280.1730196463782
11133.74840047937 281.5703165022855
11135.081024516801 242.62630274030988
11136.399740810404 337.24733304450973
11137.718258402421 262.12029040963586
11139.037149267122 346.54901397860607
11140.347426054233 374.20655736530273
11141.674379474522 248.4441949729247
11142.993201827827 291.7229687564572
11144.311459931298 329.4316244687656
11145.62992767086 134.44219242914787
11146.948488819675 137.6261268114414
11148.2668364072 340.5732483016213
11149.583669581209 339.1667559199351
11150.903602648323 227.27790038181965
11152.221857135917 310.2633746808213
11153.541504527093 223.89003614979273
11154.858230206017 252.60765828201596
11156.179893822928 209.73712898913172
11157.499036374547 144.17559454175688
11158.812767494088 256.72106360902575
11160.137136544898 210.32702540227305
11161.448824705776 425.55772957261445
11162.767018884377 288.58504168149193
11164.093740115371 244.27565220887243
11165.413077443152 111.6680207662813
11166.731832994856 233.3122186608989
11168.037644141834 466.1592206017923
11169.355718768857 429.8082409288839
11170.673932919546 364.88686909001484
11171.99094766455 219.27758358019662
11173.309286336196 358.16926927994484
11174.626801889604 305.57467652686347
11175.96173153039 259.2413535431107
11177.26140179808 490.97399141308205
11178.578940138015 452.8380199783197
11179.916370614937 218.7638953611406
11181.23683332603 299.9308426269254
11182.531209812854 402.7914263700464
11183.874588569402 396.23550115582924
11185.165821095734 392.2724608746201
11186.482902458865 476.50759391796
11187.799537323544 340.24165532495925
11189.117803913907 375.98285408490665
11190.433585747196 325.0595516323759
11191.751070757855 459.59619702319185
11193.068337710292 379.5704110495463
11194.385491057732 460.56280851957314
11195.701839149939 404.51143915036204
11197.019387463728 458.7328676161035
11198.337021766389 549.6417451790169
11199.390311113213 417.36068184732716
11200.970729314613 437.62591889610775
11203.603383438 355.04119392033556
11205.110417701018 255.8807020059406
11207.553886006643 580.2979692687398
11208.868976965518 478.4053927621357
11210.18506863286 445.1064669922231
11212.816641938824 476.1310114592789
11214.137037096883 504.36193479831974
11215.451183462092 593.4802583089418
11216.767742840413 510.57157259673585
11218.08417934235 516.0093659127923
11219.401949723771 427.87703118044357
11220.716799631564 606.4363727814629
11222.03203318076 512.1962557509923
11223.350502615516 422.6131469854648
11224.667003982633 426.7642689615234
11225.981482020901 499.3023476680987
11227.29931297231 523.5074448031825
11228.613346201273 344.98409087248245
11229.92833916353 718.9402785797936
11231.244544749827 606.8264797530178
11232.638150811972 637.7943482267964
11233.878229339118 541.1275858443464
11235.191068052052 586.6403642859727
11236.511009255259 360.4061363366698
11237.822609299055 469.2101307643512
11239.140792488099 426.996620229618
11240.455933665786 753.5775247397437
11241.858795975926 511.95450770120345
11243.088013579125 640.2012827797433
11244.402237563974 614.218253780975
11245.810682364536 623.5203017015401
11247.128301310428 580.3622806512467
11248.348149748732 790.7748554558516
11249.664008532864 728.647835524794
11250.979355031328 589.0619759341843
11253.6094080313 506.2864603068834
11256.348026139636 433.4760849849087
11257.667125331325 562.4718298291361
11258.87017390354 561.8070087163078
11262.817033182637 688.0114102976755
11264.247556592889 527.0998114285554
11265.442753124524 899.2118707581991
11266.760718183206 619.7179425037281
11268.073810671587 787.0104606401185
11269.388380608108 850.0504816341502
11270.703987287283 784.1365198809702
11273.46776109411 638.3207112072421
11274.787489222248 495.5347293831993
11275.961002862194 660.5640742323587
11277.276898408241 669.171891154615
11278.593788301301 722.2134348846793
11281.219992048711 797.4817664692337
11282.68727493541 711.0316502789287
11284.002976228241 693.1068891438557
11285.161117006583 773.3684455039318
11286.635501051218 667.3617523235811
11287.790029123067 814.7133025586638
11289.104398261068 669.8358432164266
11290.420533429084 829.3810786980912
11291.731558994807 884.1743349333215
11293.046730913735 853.5969481026875
11296.98901050929 694.1713860487328
11298.300180417724 695.3791602381375
11299.621720922683 867.6685761386075
11300.928271399998 820.5648877392148
11302.249117653488 885.8665371425833
11304.875294316425 1106.2910208951348
11305.860582171945 1067.2360631716244
11307.171062498233 988.062668846198
11308.485875419621 990.0532441529123
11311.1096469577 1093.8173152007823
11312.426430085325 1114.192567537349
11313.734492178299 1004.9269796271996
11315.381337809982 1206.8042655306597
11316.360663668736 1199.6997957561694
11317.675690851594 1297.7715467655053
11318.984686552341 1206.4857913275468
11320.302653718394 1215.3114842699663
11321.61270391905 1208.651965193334
11324.236389321899 1143.9799640149272
11325.553456633037 1117.2702588781085
11326.866474748114 1229.8452535152235
11328.180154830681 1340.8759708514028
11329.490488571993 1386.2644501485634
11332.116340794477 1257.0759392109967
11333.429233283015 1235.7397333914475
11335.0839364719 1236.688888988361
11336.054450263993 1192.9934572613336
11337.364637024488 1283.2652412420061
11338.680613639104 1270.696368463851
11339.994639593548 1171.4134712249422
11341.304044144252 1295.1811339997698
11342.963554985337 1346.511989027072
11343.538229393278 1171.337347048121
11347.175619894891 505.0647106046671
11348.489906139515 625.4206685148885
11351.121086579673 1228.736162031773
11352.436349060361 1431.4102177417292
11353.750801064887 1869.9893099267213
11355.060546329867 2218.8721838799024
11356.378755670055 2239.910541609048
11357.694722773675 2240.2020241414216
11358.71135326562 1984.2439195054567
11360.021432156866 1703.5922692479924
11361.635446452527 1930.7311972715374
11362.95056013561 2283.2147168478914
11364.265661510797 2733.129246724337
11365.581606468015 2856.768980619104
11366.886193023804 3021.547970971991
11368.20634321118 3143.060730260563
11369.520830239917 3282.6021663206566
11370.83205274609 3448.932583547259
11372.146139347447 3394.8570360705394
11373.462259275215 3238.3962956842406
11374.768858409681 3294.4928752108312
11376.085304570906 3166.557213929961
11377.395769857936 3416.6467599230364
11378.71235976701 3893.6003840689436
11380.02960094978 3901.4685307870427
11381.342233369694 4052.5090901493627
11382.658533885151 3822.4412091101694
11383.969351251133 3475.606086886277
